image,block_size,direction,original_correlation,encrypted_correlation,sample_pairs
coffee,8,horizontal,0.9762033755646368,0.5824364496258797,5000
coffee,8,vertical,0.9855444312813432,0.6857580430851146,5000
coffee,8,diagonal,0.9661071832995012,0.681898940607435,5000
coffee,16,horizontal,0.9769737962518437,0.5596799129805283,5000
coffee,16,vertical,0.9859881980173935,0.6631986613865554,5000
coffee,16,diagonal,0.9664539553835991,0.6503849856532816,5000
coffee,32,horizontal,0.9765916223074356,0.516007762843208,5000
coffee,32,vertical,0.9865094949475337,0.5932878369944468,5000
coffee,32,diagonal,0.9658526818310387,0.6055544511210345,5000
coffee,64,horizontal,0.9797382480185439,0.46907256911969897,5000
coffee,64,vertical,0.9855801118914632,0.5296528469875184,5000
coffee,64,diagonal,0.9675076300067289,0.539821758952541,5000
chelsea,8,horizontal,0.9806398447424892,-0.014640146257971793,5000
chelsea,8,vertical,0.9904930331957112,0.3161415908590723,5000
chelsea,8,diagonal,0.973027300683402,0.28571972659823747,5000
chelsea,16,horizontal,0.9807399390380465,-0.044564982724112474,5000
chelsea,16,vertical,0.9898435906700856,0.2818669338058937,5000
chelsea,16,diagonal,0.9720644510783152,0.26089588231508737,5000
chelsea,32,horizontal,0.9815339776941039,-0.10320642745436469,5000
chelsea,32,vertical,0.9892345933486678,0.22431020271359492,5000
chelsea,32,diagonal,0.9719365641754858,0.2065910785314269,5000
chelsea,64,horizontal,0.9793888407224114,-0.19372920607867805,5000
chelsea,64,vertical,0.9896402545340506,0.13547711717861724,5000
chelsea,64,diagonal,0.970842919830997,0.11734295857134248,5000
rocket,8,horizontal,0.9376303367233826,0.24630376226374281,5000
rocket,8,vertical,0.9785845695526982,0.458694552157899,5000
rocket,8,diagonal,0.9258183732800841,0.4771861162059769,5000
rocket,16,horizontal,0.9409566958267165,0.25461389770878146,5000
rocket,16,vertical,0.9763448243911149,0.4390022551191349,5000
rocket,16,diagonal,0.9282711701313997,0.4524625398592414,5000
rocket,32,horizontal,0.9383345438164031,0.20352667868267088,5000
rocket,32,vertical,0.9800850237874518,0.3829887598910855,5000
rocket,32,diagonal,0.9274518604621983,0.3998962767599749,5000
rocket,64,horizontal,0.9397591118137327,0.16481836160460922,5000
rocket,64,vertical,0.9774703400227177,0.3466879744494723,5000
rocket,64,diagonal,0.9270758699392828,0.35536802291813535,5000
hubble_deep_field,8,horizontal,0.8299841659289919,0.5164346333613397,5000
hubble_deep_field,8,vertical,0.855595846776619,0.42053234944452944,5000
hubble_deep_field,8,diagonal,0.7594473499500387,0.4418092441755297,5000
hubble_deep_field,16,horizontal,0.8515645296334131,0.3512997691772265,5000
hubble_deep_field,16,vertical,0.868458067571244,0.2467543172032137,5000
hubble_deep_field,16,diagonal,0.7572717595119834,0.2635376143094445,5000
hubble_deep_field,32,horizontal,0.8329805142108905,0.22986940908327932,5000
hubble_deep_field,32,vertical,0.8686563346042991,0.08665120995083044,5000
hubble_deep_field,32,diagonal,0.7803825649038015,0.08777289611033352,5000
hubble_deep_field,64,horizontal,0.8467047226177112,0.1962135429894073,5000
hubble_deep_field,64,vertical,0.8501696537242212,0.007220169676478157,5000
hubble_deep_field,64,diagonal,0.7735936781887102,-0.0020236620088003687,5000
