image,block_size,payload_bits,key_bit_difference,same_image_identifier,rgb_npcr_percent,rgb_uaci_percent,r_npcr_percent,r_uaci_percent,g_npcr_percent,g_uaci_percent,b_npcr_percent,b_uaci_percent
airplane.tif,8,240,1,True,99.1278330485026,17.610682069865707,99.16152954101562,18.49151611328125,99.10812377929688,17.58921604530484,99.11384582519531,16.75131405101103
airplane.tif,16,240,1,True,99.17869567871094,18.452858519709967,99.21989440917969,19.39613043093214,99.15733337402344,18.790211397058822,99.15885925292969,17.172233731138938
airplane.tif,32,240,1,True,99.24914042154947,19.46029214298024,99.27101135253906,20.409058215571385,99.24583435058594,20.16722735236673,99.23057556152344,17.804590861002602
airplane.tif,64,240,1,True,99.2669423421224,20.512180702359068,99.31869506835938,21.5721908270144,99.29542541503906,21.69811772365196,99.18670654296875,18.266233556410846
baboon.tif,8,240,1,True,99.31615193684897,23.87200847949857,99.22294616699219,23.58184964049096,99.49111938476562,25.740523992800245,99.23439025878906,22.293651805204505
baboon.tif,16,240,1,True,99.34794108072916,24.592405331680197,99.249267578125,24.20402826047411,99.4842529296875,26.274351232192096,99.310302734375,23.298836502374385
baboon.tif,32,240,1,True,99.41546122233072,25.57328766467524,99.36065673828125,24.880550608915442,99.5361328125,27.210581162396597,99.34959411621094,24.628731222713697
baboon.tif,64,240,1,True,99.46581522623697,27.35316158120149,99.39727783203125,26.204121907552086,99.53689575195312,28.700497197169884,99.46327209472656,27.15486563888251
couple.tif,8,240,1,True,95.92641194661459,9.697504978553921,96.54693603515625,11.94647097120098,96.0479736328125,8.986457375919118,95.184326171875,8.159586588541666
couple.tif,16,240,1,True,96.56626383463541,10.242744395935457,97.16796875,12.664591471354166,96.6552734375,9.525182387408087,95.87554931640625,8.538459329044118
couple.tif,32,240,1,True,97.18170166015625,10.994119083180147,97.6776123046875,13.57534371170343,97.1893310546875,10.238850911458334,96.67816162109375,9.168162626378676
couple.tif,64,240,1,True,97.84596761067709,11.667586183236315,98.4222412109375,14.337038526348039,97.8118896484375,10.968095368030024,97.30377197265625,9.697624655330882
girl.tif,8,240,1,True,98.05501302083334,15.317614187602125,99.07073974609375,19.114152496936274,97.54486083984375,14.192217658547795,97.5494384765625,12.646472407322303
girl.tif,16,240,1,True,98.30220540364584,15.997972675398284,99.18670654296875,19.9853515625,97.93701171875,14.782822552849264,97.78289794921875,13.225743910845589
girl.tif,32,240,1,True,98.56974283854166,17.146480784696692,99.298095703125,21.43469716988358,98.17657470703125,15.826433967141545,98.23455810546875,14.178311217064952
girl.tif,64,240,1,True,98.80320231119791,18.261573143254697,99.35150146484375,22.8582763671875,98.58245849609375,17.05175661573223,98.47564697265625,14.874686446844363
lena.tif,8,240,1,True,99.22879536946616,21.451866299498317,98.93569946289062,17.641890282724418,99.26910400390625,21.59994087967218,99.48158264160156,25.113767736098346
lena.tif,16,240,1,True,99.25969441731772,22.220046099494486,99.04708862304688,18.422788732192096,99.26910400390625,22.620266185087313,99.462890625,25.617083381204043
lena.tif,32,240,1,True,99.34832255045572,23.20091397154565,99.15351867675781,19.460386388442096,99.37782287597656,23.859390557981005,99.51362609863281,26.282964968213847
lena.tif,64,240,1,True,99.39676920572916,24.59786059809666,99.2523193359375,21.20422961665135,99.41329956054688,25.734197579178154,99.52468872070312,26.85515459846048
peppers.tif,8,240,1,True,97.64556884765625,19.150308347215837,99.36904907226562,23.275661094515932,96.84791564941406,17.299861533969057,96.71974182128906,16.87540241316253
peppers.tif,16,240,1,True,98.36781819661459,20.251574547462216,99.395751953125,23.882233862783394,97.94540405273438,19.023881800034466,97.76229858398438,17.848607979568783
peppers.tif,32,240,1,True,98.98325602213541,21.927631353241168,99.43962097167969,24.931823132084865,98.78387451171875,21.68149611529182,98.72627258300781,19.169574812346813
peppers.tif,64,240,1,True,99.30610656738281,24.535781261967678,99.46556091308594,26.37755450080423,99.30343627929688,26.401341756184898,99.14932250976562,20.82844752891391
