stage,block_size,block_row,block_col,channel,before_sum,after_sum,abs_difference
rdh,8,40,48,0,5120,5120,0
rdh,8,40,48,1,10240,10240,0
rdh,8,40,48,2,12160,12160,0
rdh,8,40,56,0,5760,5760,0
rdh,8,40,56,1,7680,7680,0
rdh,8,40,56,2,9600,9600,0
rdh,8,48,0,0,6240,6240,0
rdh,8,48,0,1,7400,7400,0
rdh,8,48,0,2,9640,9640,0
rdh,8,48,8,0,7680,7680,0
rdh,8,48,8,1,6560,6560,0
rdh,8,48,8,2,9760,9760,0
rdh,8,48,16,0,7680,7680,0
rdh,8,48,16,1,6560,6560,0
rdh,8,48,16,2,9760,9760,0
rdh,8,48,24,0,5760,5760,0
rdh,8,48,24,1,7680,7680,0
rdh,8,48,24,2,9600,9600,0
rdh,8,48,32,0,5760,5760,0
rdh,8,48,32,1,7680,7680,0
rdh,8,48,32,2,9600,9600,0
rdh,8,48,40,0,5760,5760,0
rdh,8,48,40,1,7680,7680,0
rdh,8,48,40,2,9600,9600,0
rdh,8,48,48,0,5760,5760,0
rdh,8,48,48,1,7680,7680,0
rdh,8,48,48,2,9600,9600,0
rdh,8,48,56,0,5760,5760,0
rdh,8,48,56,1,7680,7680,0
rdh,8,48,56,2,9600,9600,0
rdh,8,56,0,0,5760,5760,0
rdh,8,56,0,1,7680,7680,0
rdh,8,56,0,2,9600,9600,0
rdh,8,56,8,0,5760,5760,0
rdh,8,56,8,1,7680,7680,0
rdh,8,56,8,2,9600,9600,0
rdh,8,56,16,0,5760,5760,0
rdh,8,56,16,1,7680,7680,0
rdh,8,56,16,2,9600,9600,0
rdh,8,56,24,0,5760,5760,0
rdh,8,56,24,1,7680,7680,0
rdh,8,56,24,2,9600,9600,0
rdh,8,56,32,0,5760,5760,0
rdh,8,56,32,1,7680,7680,0
rdh,8,56,32,2,9600,9600,0
rdh,8,56,40,0,5760,5760,0
rdh,8,56,40,1,7680,7680,0
rdh,8,56,40,2,9600,9600,0
rdh,8,56,48,0,5760,5760,0
rdh,8,56,48,1,7680,7680,0
rdh,8,56,48,2,9600,9600,0
rdh,8,56,56,0,5760,5760,0
rdh,8,56,56,1,7680,7680,0
rdh,8,56,56,2,9600,9600,0
substitution,8,0,0,0,5146,5146,0
substitution,8,0,0,1,6773,6773,0
substitution,8,0,0,2,8402,8402,0
substitution,8,0,8,0,5136,5136,0
substitution,8,0,8,1,6825,6825,0
substitution,8,0,8,2,8512,8512,0
substitution,8,0,16,0,5759,5759,0
substitution,8,0,16,1,7679,7679,0
substitution,8,0,16,2,9599,9599,0
substitution,8,0,24,0,5760,5760,0
substitution,8,0,24,1,7678,7678,0
substitution,8,0,24,2,9600,9600,0
substitution,8,0,32,0,5757,5757,0
substitution,8,0,32,1,7677,7677,0
substitution,8,0,32,2,9598,9598,0
substitution,8,0,40,0,5754,5754,0
substitution,8,0,40,1,7674,7674,0
substitution,8,0,40,2,9594,9594,0
substitution,8,0,48,0,5757,5757,0
substitution,8,0,48,1,7676,7676,0
substitution,8,0,48,2,9596,9596,0
substitution,8,0,56,0,5758,5758,0
substitution,8,0,56,1,7678,7678,0
substitution,8,0,56,2,9599,9599,0
substitution,8,8,0,0,5760,5760,0
substitution,8,8,0,1,7680,7680,0
substitution,8,8,0,2,9600,9600,0
substitution,8,8,8,0,2560,2560,0
substitution,8,8,8,1,11520,11520,0
substitution,8,8,8,2,5760,5760,0
substitution,8,8,16,0,2560,2560,0
substitution,8,8,16,1,11520,11520,0
substitution,8,8,16,2,5760,5760,0
substitution,8,8,24,0,5760,5760,0
substitution,8,8,24,1,7680,7680,0
substitution,8,8,24,2,9600,9600,0
substitution,8,8,32,0,5760,5760,0
substitution,8,8,32,1,7680,7680,0
substitution,8,8,32,2,9600,9600,0
substitution,8,8,40,0,5760,5760,0
substitution,8,8,40,1,7680,7680,0
substitution,8,8,40,2,9600,9600,0
substitution,8,8,48,0,5760,5760,0
substitution,8,8,48,1,7680,7680,0
substitution,8,8,48,2,9600,9600,0
substitution,8,8,56,0,5760,5760,0
substitution,8,8,56,1,7680,7680,0
substitution,8,8,56,2,9600,9600,0
substitution,8,16,0,0,5760,5760,0
substitution,8,16,0,1,7680,7680,0
substitution,8,16,0,2,9600,9600,0
substitution,8,16,8,0,2560,2560,0
substitution,8,16,8,1,11520,11520,0
substitution,8,16,8,2,5760,5760,0
substitution,8,16,16,0,2560,2560,0
substitution,8,16,16,1,11520,11520,0
substitution,8,16,16,2,5760,5760,0
substitution,8,16,24,0,5760,5760,0
substitution,8,16,24,1,7680,7680,0
substitution,8,16,24,2,9600,9600,0
substitution,8,16,32,0,5600,5600,0
substitution,8,16,32,1,8320,8320,0
substitution,8,16,32,2,10240,10240,0
substitution,8,16,40,0,5120,5120,0
substitution,8,16,40,1,10240,10240,0
substitution,8,16,40,2,12160,12160,0
substitution,8,16,48,0,5120,5120,0
substitution,8,16,48,1,10240,10240,0
substitution,8,16,48,2,12160,12160,0
substitution,8,16,56,0,5760,5760,0
substitution,8,16,56,1,7680,7680,0
substitution,8,16,56,2,9600,9600,0
substitution,8,24,0,0,5760,5760,0
substitution,8,24,0,1,7680,7680,0
substitution,8,24,0,2,9600,9600,0
substitution,8,24,8,0,5760,5760,0
